$GROWTH ASPECTS SECONDARY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.8.5.000 -release  OCT 24, 2025 14:14:59

*RUN   1        : 1                         CSCER048 TUDU1501    1
 MODEL          : CSCER048 - Wheat
 EXPERIMENT     : TUDU1501 WH
 DATA PATH      :
 TREATMENT  1   : 1                         CSCER048
  
@YEAR DOY   DAS   DAP TMEAN  GSTD  RSTD LAIPD LAISD  LAID  CHTD SDWAD SNWLD SNWSD  H#AD  HWUD SHRTD  PTFD  RDPD  RL1D  RL2D  RL3D  RL4D  RL5D  RL6D  RL7D  RL8D  RL9D RL10D
   15 157    80    80  21.8 39.09  2.93 3.417  0.30 3.120 46.48  21.3 59.17 9.988     0     0  6.48  0.81 0.947  3.64  1.24  0.89  0.55  0.44  0.21  0.03  0.00  0.00  0.00
   15 158    81    81  21.5 40.04  3.00 3.654  0.31 3.349 48.29  21.3 60.77 10.68     0     0  6.50  0.81 0.967  3.79  1.25  0.90  0.56  0.45  0.21  0.03  0.00  0.00  0.00
   15 159    82    82  16.1 40.71  3.07 3.654  0.33 3.326 50.10  21.3 60.77 11.22     0     0  6.52  0.81 0.982  3.90  1.29  0.91  0.56  0.45  0.22  0.04  0.00  0.00  0.00
   15 160    83    83  12.3 41.23  3.12 3.654  0.34 3.309 51.78  21.3 60.77 11.63     0     0  6.54  0.82 0.993  3.96  1.30  0.91  0.56  0.46  0.22  0.04  0.00  0.00  0.00
   15 161    84    84  14.7 41.84  3.18 3.654  0.37 3.289 53.06  21.3 60.77 12.14     0     0  6.57  0.82 1.007  4.05  1.34  0.92  0.57  0.46  0.22  0.04  0.00  0.00  0.00
   15 162    85    85  18.3 42.60  3.26 3.654  0.39 3.263 54.60  21.3 60.77 12.77     0     0  6.60  0.83 1.022  4.15  1.38  0.92  0.57  0.47  0.23  0.05  0.00  0.00  0.00
   15 163    86    86  20.9 43.47  3.35 3.654  0.42 3.234 56.50  21.3 60.77 13.51     0     0  6.66  0.84 1.039  4.29  1.43  0.94  0.58  0.47  0.23  0.05  0.00  0.00  0.00
   15 164    87    87  20.1 44.31  3.43 3.654  0.45 3.206 58.68  21.3 60.77 14.25     0     0  6.72  0.84 1.055  4.38  1.49  0.94  0.59  0.48  0.24  0.06  0.00  0.00  0.00
   15 165    88    88  20.1 45.15  3.51 3.654  0.48 3.178 60.77  21.3 60.77 14.99     0     0  6.78  0.85 1.072  4.43  1.54  0.96  0.59  0.49  0.25  0.06  0.00  0.00  0.00
   15 166    89    89  15.1 45.78  3.58 3.654  0.50 3.157 62.87  21.3 60.77 15.57     0     0  6.82  0.86 1.084  4.44  1.57  0.97  0.60  0.49  0.25  0.07  0.00  0.00  0.00
   15 167    90    90  15.2 46.41  3.64 3.654  0.52 3.136 64.44  21.3 60.77 16.15     0     0  6.89  0.86 1.097  4.47  1.61  0.99  0.61  0.50  0.25  0.07  0.00  0.00  0.00
   15 168    91    91  14.8 47.03  3.70 3.654  0.54 3.115 66.02  21.3 60.77 16.73     0     0  6.98  0.87 1.109  4.49  1.64  1.01  0.61  0.51  0.26  0.08  0.00  0.00  0.00
